# cpu	matrix_size	num_loops	num_processes	duration_min(s)	duration_max(s)
intel_xeon_6154	128	10000	1	12.38	12.38
intel_xeon_6154	128	10000	1	12.41	12.41
intel_xeon_6154	128	10000	1	12.39	12.39
intel_xeon_6154	128	10000	1	12.38	12.38
intel_xeon_6154	128	10000	1	12.46	12.46
intel_xeon_6154	128	10000	2	12.52	12.80
intel_xeon_6154	128	10000	4	12.47	12.70
intel_xeon_6154	128	10000	8	12.53	12.88
intel_xeon_6154	128	10000	12	13.16	13.43
intel_xeon_6154	128	10000	16	13.38	13.64
intel_xeon_6154	128	10000	18	13.61	14.01
intel_xeon_6154	128	10000	36	14.08	15.87
intel_xeon_6154	128	10000	48	14.06	17.12
intel_xeon_6154	128	10000	48	14.82	17.35
intel_xeon_6154	128	10000	54	14.64	17.65
intel_xeon_6154	128	10000	71	15.07	19.00
intel_xeon_6154	128	10000	71	14.69	19.24
intel_xeon_6154	128	10000	72	14.72	19.72
intel_xeon_6154	128	10000	72	14.84	18.92
intel_xeon_6154	128	10000	72	14.59	19.52
intel_xeon_6154	128	10000	72	14.70	20.98
intel_xeon_6154	128	10000	72	15.00	19.52
intel_xeon_6154	128	10000	73	15.73	20.41
intel_xeon_6154	128	10000	73	15.08	20.44
intel_xeon_6154	128	10000	96	16.31	22.47
intel_xeon_6154	128	10000	144	24.23	25.60

intel_xeon_6154	256	2000	1	12.00	12.00
intel_xeon_6154	256	2000	1	12.00	12.00
intel_xeon_6154	256	2000	2	12.11	12.11
intel_xeon_6154	256	2000	4	12.04	12.34
intel_xeon_6154	256	2000	8	12.29	12.75
intel_xeon_6154	256	2000	16	12.80	13.19
intel_xeon_6154	256	2000	18	12.93	13.36
intel_xeon_6154	256	2000	24	13.06	14.17
intel_xeon_6154	256	2000	32	13.43	15.30
intel_xeon_6154	256	2000	36	13.46	15.60
intel_xeon_6154	256	2000	48	13.66	16.72
intel_xeon_6154	256	2000	54	14.05	17.24
intel_xeon_6154	256	2000	72	14.54	18.67
intel_xeon_6154	256	2000	90	15.02	22.37
intel_xeon_6154	256	2000	90	15.88	22.23
intel_xeon_6154	256	2000	144	24.33	26.22

intel_xeon_6154	512	300	1	11.76	11.76
intel_xeon_6154	512	300	2	11.77	12.28
intel_xeon_6154	512	300	4	11.90	12.01
intel_xeon_6154	512	300	8	12.02	12.48
intel_xeon_6154	512	300	16	12.59	12.96
intel_xeon_6154	512	300	32	13.29	15.42
intel_xeon_6154	512	300	64	13.94	19.63
intel_xeon_6154	512	300	72	14.02	20.04
intel_xeon_6154	512	300	96	14.69	25.86
intel_xeon_6154	512	300	128	23.09	34.97
intel_xeon_6154	512	300	144	32.53	46.70

intel_xeon_6154	1024	40	1	11.66	11.66
intel_xeon_6154	1024	40	2	11.66	11.82
intel_xeon_6154	1024	40	4	11.96	12.08
intel_xeon_6154	1024	40	8	12.09	12.68
intel_xeon_6154	1024	40	16	13.19	14.66
intel_xeon_6154	1024	40	24	14.61	16.72
intel_xeon_6154	1024	40	32	15.56	19.73
intel_xeon_6154	1024	40	48	15.97	23.10
intel_xeon_6154	1024	40	48	15.54	23.70
intel_xeon_6154	1024	40	48	15.99	24.42
intel_xeon_6154	1024	40	54	16.43	28.37
intel_xeon_6154	1024	40	54	28.08	51.00
intel_xeon_6154	1024	40	54	19.10	33.15
intel_xeon_6154	1024	40	54	21.77	41.05
intel_xeon_6154	1024	40	64	25.94	65.70
intel_xeon_6154	1024	40	64	38.36	68.63
intel_xeon_6154	1024	40	64	24.78	38.82
intel_xeon_6154	1024	40	64	24.72	52.63
intel_xeon_6154	1024	40	64	31.58	69.28
intel_xeon_6154	1024	40	72	51.72	79.02
intel_xeon_6154	1024	40	72	46.73	72.47

intel_xeon_6154	2048	5	72	13.20	13.20

intel_xeon_6154	4096	1	72	25.33	25.33















amd_epyc_7282	mkl_omp	1	0	6000	122.31
amd_epyc_7282	mkl_omp	2	0	6000	85.99
amd_epyc_7282	mkl_omp	4	0	6000	45.24
amd_epyc_7282	mkl_omp	8	0	6000	28.61
amd_epyc_7282	mkl_omp	12	0	6000	20.04
amd_epyc_7282	mkl_omp	16	0	6000	17.55
amd_epyc_7282	mkl_omp	18	0	6000	17.40
amd_epyc_7282	mkl_omp	24	0	6000	21.61
amd_epyc_7282	mkl_omp	32	0	6000	18.23



amd_epyc_7282	mkl_omp	1	0	12000	881.80
amd_epyc_7282	mkl_omp	2	0	12000	620.87
amd_epyc_7282	mkl_omp	4	0	12000	327.27
amd_epyc_7282	mkl_omp	8	0	12000	197.10
amd_epyc_7282	mkl_omp	12	0	12000	193.84
amd_epyc_7282	mkl_omp	16	0	12000	179.52
amd_epyc_7282	mkl_omp	18	0	12000	226.02
amd_epyc_7282	mkl_omp	24	0	12000	175.22
amd_epyc_7282	mkl_omp	32	0	12000	192.16
